timestamp,event_type,details
2025-06-04T15:35:05.162649900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051050938547 }, name: None, event_type: MouseMove { x: 45.0, y: 78.0 } }"
2025-06-04T15:35:05.174641500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051746250 }, name: None, event_type: MouseMove { x: 115.0, y: 86.0 } }"
2025-06-04T15:35:05.175094500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051750815 }, name: None, event_type: MouseMove { x: 143.0, y: 92.0 } }"
2025-06-04T15:35:05.179824100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051798080 }, name: None, event_type: MouseMove { x: 153.0, y: 93.0 } }"
2025-06-04T15:35:05.181861600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051818446 }, name: None, event_type: MouseMove { x: 162.0, y: 95.0 } }"
2025-06-04T15:35:05.185882400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051858673 }, name: None, event_type: MouseMove { x: 172.0, y: 96.0 } }"
2025-06-04T15:35:05.189813400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051897966 }, name: None, event_type: MouseMove { x: 181.0, y: 97.0 } }"
2025-06-04T15:35:05.193785400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051937701 }, name: None, event_type: MouseMove { x: 189.0, y: 98.0 } }"
2025-06-04T15:35:05.197780600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051051977633 }, name: None, event_type: MouseMove { x: 197.0, y: 98.0 } }"
2025-06-04T15:35:05.201787700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052017734 }, name: None, event_type: MouseMove { x: 207.0, y: 98.0 } }"
2025-06-04T15:35:05.205793800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052057793 }, name: None, event_type: MouseMove { x: 216.0, y: 99.0 } }"
2025-06-04T15:35:05.209814400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052097983 }, name: None, event_type: MouseMove { x: 224.0, y: 100.0 } }"
2025-06-04T15:35:05.213779200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052137639 }, name: None, event_type: MouseMove { x: 232.0, y: 101.0 } }"
2025-06-04T15:35:05.217822100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052177970 }, name: None, event_type: MouseMove { x: 240.0, y: 102.0 } }"
2025-06-04T15:35:05.221787+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052217730 }, name: None, event_type: MouseMove { x: 250.0, y: 104.0 } }"
2025-06-04T15:35:05.225776500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052257621 }, name: None, event_type: MouseMove { x: 258.0, y: 105.0 } }"
2025-06-04T15:35:05.229771+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052297561 }, name: None, event_type: MouseMove { x: 266.0, y: 105.0 } }"
2025-06-04T15:35:05.233827700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051052338157 }, name: None, event_type: MouseMove { x: 274.0, y: 106.0 } }"
